

Keyboard Example 
MAKE code: 0x21 - f
BREAK code: 0xA1 - f
BREAK code: 0xAA - LSHIFT
MAKE code: 0x2A - LSHIFT
MAKE code: 0x21 - f
BREAK code: 0xA1 - f
BREAK code: 0xAA - LSHIFT
MAKE code: 0xE0 0x5B - Not Def
MAKE code: 0xE0 0x1D - Not Def
BREAK code: 0xE0 0x9D - Not Def
BREAK code: 0xE0 0xDB - Not Def
MAKE code: 0xE0 0x5B - Not Def
MAKE code: 0xE0 0x1D - Not Def
BREAK code: 0xE0 0x9D - Not Def
BREAK code: 0xE0 0xDB - Not Def
MAKE code: 0x1D - CTRL
MAKE code: 0x2E - c
BREAK code: 0xAE - c
BREAK code: 0x9D - CTRL
MAKE code: 0x01 - ESC
BREAK code: 0x81 - ESC
